name,para
空中交通管制,利用通信、导航技术和监控手段对飞机飞行活动进行监视和控制，保证飞行安全和有秩序飞行。 在飞行航线的空域划分不同的管理空域，包括航路、飞行情报管理区、进近管理区、塔台管理区、等待空域管理区等，并按管理区不同使用不同的雷达设备。 在管理空域内进行间隔划分，飞机间的水平和垂直方向间隔构成空中交通管理的基础。 由导航设备、雷达系统、二次雷达、通信设备、地面控制中心组成空中交通管理系统，完成监视、识别、导引覆盖区域内的飞机。
大圆航线角,大圆航线角是沿大圆航线上任何点与当地经线的交角。
航行速度三角形,航行速度三角形是地速表明飞行中的飞机相对于地面运动的速度。
等角航线,等角航线是指地球面上一条与所有经线相交成等方位角的曲线，又名恒向线、斜航线。在地球表面上除经线和纬线以外的等角航线，都是以极点为渐近点的螺旋曲线。
大圆航线,把地球看做一个球体，通过地面上任意两点和地心做一平面，平面与地球表面相交看到的圆周就是大圆。两点之间的大圆劣弧线是两点在地面上的最短距离。沿着这一段大圆弧线航行时的航线称为大圆航线。由于大圆航线是两点之间的最短航线，故有时称为最经济航线。
起落航线,
航向,"飞机纵轴前方的延长线叫航向线,飞机所在位置的经线北端顺时针测量至航向线的夹角叫做航向（HDG－Heading）。"
等磁差线,等磁差线指在航空地图上，连接磁差相等的各点的曲线。
地标领航,
航线,飞机飞行的路线称为空中交通线，简称航线。飞机的航线不仅确定了飞机飞行具体方向、起讫点和经停点，而且还根据空中交通管制的需要，规定了航线的宽度和飞行高度，以维护空中交通秩序，保证飞行安全。
改航,
推测领航,"推测领航是指飞行中根据航行仪表的指示和导航设备测定的地速向量，以推算出飞机位置，确定应飞航向的“领航”。由于天气条件较差，在不能直接目视地面的情况下，可以根据罗盘指示的航向和空速表指示的空速值，并结合风对航行的影响,在航空地图上推算出飞机位置，确定应飞航向，完成航行任务。推测领航和地标领航通常配合进行，利用推测领航可以给地标领航确定飞机位置提供依据，应用地标领航可以校准飞机的精确位置，从而完善领航方法，提髙航行的正确性。"
航路,航路：由国家统一划定的具有一定宽度的空中通道。有较完善的通信、导航设备，宽度通常为20KM。划定航路的目的是维护空中交通秩序，提高空间利用率，保证飞行安全。
真航向,真航向，指的是船舶航行时，真北线与船首线之间的夹角。真航向以真北线为基准，顺时针量至船首线。
磁航向,磁航向（Magnetic heading）是指飞机纵轴在地平面上的投影，与磁子午线的夹角（磁北为正，顺时针旋转）。应用在航行与空中交通管理的词语。
航线角,航线角是航线去向与当地经线的夹角。真航线角应当从航线起点和转弯点量取。
危险接近,"危险接近是指飞行中航空器之间的间隔过小,有可能造成碰撞的飞行状态。"
空中停车,空中停车是一般的航空用词之一，顾名思义，是指飞机发动机在起飞之后、落地之前在空中运行时，由于机械故障、电子系统故障、飞行操作失误、外来物影响（鸟击）等原因引起的发动机停止工作；发动机设计的缺陷，会导致发动机喘振，从而引起的空中停车，也是常见的问题。
空中劫持,空中劫持又称空盗，非法劫持。一种严重的国际性犯罪。指使用暴力、暴力威胁或其它恐吓方式，非法劫持飞行中的航空器或控制、改变其航线的行为，这种行为的特点是：(1)对作为运输工具的航空器，使用暴力迫使其改变原定航线，飞往另外的目的地，是一种侵犯社会合法权益的罪行。(2)指从航空器装载完毕后，机舱外部各门均已关闭后实施的犯罪。(3)是由同一航空器中的机组人员或乘客所进行的犯罪活动。
水上迫降,水上迫降指着陆场在海洋，湖泊等水面上，水上迫降要求尽可能的靠近陆地，水上迫降危险性高于陆地迫降。
应急撤离,紧急撤离也叫应急撤离。飞机遇险，机组按照相应预案和应急操作程序，听从机长和乘务长的指挥，快速应对，密切配合，维持客舱秩序，迅速指挥旅客撤离。
迷航,"迷航是迷失航行方向,也泛指迷失前进方向。"
超速警告,
失速警告,失速警告(stall warning)是 飞机接近失速时由飞机驾驶舱的“失速警告系统”向驾驶员发出警报。
减推力起飞,在保证安全的情况下，减小发动机的推力，减小推力后仍能满足规则和性能的要求，也叫灵活推力起飞，灵活推力起飞是减推力起飞的一种特殊形式
飞行签派,"飞行签派系指负责组织、安排、保障航空公司航空器的飞行与运行管理的工作。其主要任务是根据航空公司的运行计划，合理地组织航空器的飞行并进行运行管理，争取航班正常，提高服务质量和经济效益。为保证航空公司飞行安全与航空器的正常运行，提高经济效益,航空公司必须认真负责地做好飞行和航空器运行管理的各项专业工作。例如，拟定、申请飞行计划；派遣各项飞行任务;协调航空公司内、外关系及各项保障;签发航空器的运行许可;处理或协助处理有关特殊情况等。"
着陆跳跃,着陆跳跃指航空器接地后又迅速离地，或多次接地-离地的非正常的着陆状态。
越障限制重量,
单轮着陆,
等待油量,等待油量是指国际或地区运行时，飞机以等待速度在备降机场，或当不需要备降机场时在目的地机场上空450米（1500英尺）高度上在标准温度条件下飞行30分钟所需的油量。
着陆限制重量,
航段,飞机从起飞到下一个着陆之间的飞行，包括国际航段和国内航段。
跑道限制重量,
刹车能量限制重量,刹车能量限制重量是指用起飞离地速度等于轮胎限制速度确定的最大起飞重量。
最大滑行重量,
载重与平衡,空机重量：指航空器本身的结构重量、固定设备重量、油箱内不能利用或不能放出的燃油或润滑油的重量、散热系统中的液体重量等的总合。
爬升限制重量,
远程巡航速度,
久航速度,久航速度是指飞机平飞的燃油航时最大，耗尽其可用燃油而达到平飞最大留空时间的飞行速度。也可以理解为合理选择飞行，使飞机在单位时间内所耗燃料量最少，从而获得最长续航时间（又称“航时”）时所对应的巡航速度。久航速度即是飞机实现最久航时时所对应的飞行速度。航时久表明飞机留空活动时间长，既便于空中机动，又能减少出动架次。因此续航性能是飞机重要战术技术性能，也是评价飞机性能好坏的主要指标之一。对于民航机而言，航时和航程则影响运输的经济效益，更具有重要意义。
爬升距离,距离，在我们的生活中无处不在，哪怕你上街买个菜都是距离，在我们人生中{爬升距离}无处不在.
应急下降,应急下降是指飞机或降落伞等飞行器械在空中遇到特殊情况，在不得已的情况下为了保障生命财产安全而采用的紧急降落方式。
爬升时间,
陡升速度,陡升速度（speed for steepest climb），是指在给定重量和高度条件下，飞机以最大连续推力，取得最大爬升梯度所对应的速度。
最大航程速度,最大航程速度是指飞机在平飞的燃油里程最大，耗尽其可用燃油能达到平飞最大航程的速度。
经济速度,经济速度
